epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,789.074,0.6562,0.33323,0.82543,0.91875,0.94984,0.95509,0.71614,0.63014,0.32114,0.81253,0.000424187,0.000424187,0.000424187
43,807.638,0.65682,0.33202,0.82354,0.89774,0.94221,0.936,0.71276,0.63419,0.31789,0.81436,0.000417119,0.000417119,0.000417119
44,825.862,0.64178,0.32938,0.82357,0.95758,0.92409,0.95773,0.728,0.64067,0.31155,0.81448,0.00041005,0.00041005,0.00041005
45,844.727,0.64416,0.33025,0.82174,0.90832,0.93561,0.95569,0.72025,0.65431,0.3206,0.81601,0.000402982,0.000402982,0.000402982
46,862.482,0.64216,0.32651,0.82194,0.9397,0.92748,0.95519,0.72249,0.60955,0.30367,0.80985,0.000395913,0.000395913,0.000395913
47,880.337,0.62762,0.31965,0.82078,0.92224,0.95644,0.95844,0.73689,0.57666,0.295,0.8088,0.000388844,0.000388844,0.000388844
48,898.94,0.62756,0.31978,0.81964,0.91554,0.94555,0.9507,0.73029,0.63061,0.30819,0.81163,0.000381776,0.000381776,0.000381776
49,918.298,0.62532,0.32059,0.81895,0.92387,0.95255,0.9567,0.73585,0.6022,0.29786,0.8112,0.000374707,0.000374707,0.000374707
50,936.268,0.61543,0.31476,0.81669,0.92237,0.9534,0.96,0.72921,0.58955,0.29804,0.81066,0.000367639,0.000367639,0.000367639
51,955.21,0.60299,0.31137,0.81644,0.94151,0.94491,0.95558,0.73815,0.59919,0.29913,0.80782,0.00036057,0.00036057,0.00036057
52,972.941,0.60905,0.31156,0.81646,0.94318,0.93408,0.96031,0.73532,0.58428,0.29768,0.80676,0.000353501,0.000353501,0.000353501
53,990.349,0.60829,0.31384,0.81808,0.91371,0.94246,0.94089,0.73287,0.60303,0.29616,0.81075,0.000346433,0.000346433,0.000346433
